Treatment,Rep,monosome,monosome_norm,Strain,Sample.index,polysome,polysome_norm,PM_ratio,PM_ratio_norm,Vehicle_polysome,polysome_delta
mock,rep1,35.8317,0.17750273935952154,yJB143,1,69.437451,0.34397859344219084,1.93787766140038,1.9378776614003803,0.34397859344219084,0
mock,rep2,31.94135,0.19542515346665623,yJB143,2,70.65270799999999,0.43227090601163853,2.2119512168396134,2.211951216839614,0.43227090601163853,0
treat,rep1,47.839585,0.38579970108973394,yJB143,3,19.797073,0.15965240596990218,0.41382200535393443,0.41382200535393443,0.34397859344219084,0.18432618747228866
treat,rep2,39.827276,0.3712979352968491,yJB143,4,22.569459,0.21040840271041605,0.5666834708956746,0.5666834708956745,0.43227090601163853,0.22186250330122248
mock,rep2,6.090826,0.05882526046808803,yJB42,1,52.097212999999996,0.5031554216762163,8.553390459684778,8.553390459684778,0.5031554216762163,0
treat,rep2,57.436512,0.5641497668144126,yJB42,2,6.482098,0.06366810845282825,0.11285674868278908,0.11285674868278911,0.5031554216762163,0.4394873132233881
mock,rep1,59.03827,0.12656467755801065,yJB42,3,250.51057600000001,0.537037929402598,4.243189646309081,4.24318964630908,0.537037929402598,0
treat,rep1,159.758006,0.3982912156182366,yJB42,4,18.121087,0.04517751535753283,0.11342834987562377,0.11342834987562372,0.537037929402598,0.49186041404506514
mock,rep1,37.743194,0.24339521966068675,yHG72,1,56.483649,0.3642471316972308,1.4965254132970303,1.4965254132970305,0.3642471316972308,0
mock,rep2,48.7159,0.26616503665926067,yHG72,2,90.125126,0.49240920245157105,1.850014594824277,1.8500145948242774,0.49240920245157105,0
treat,rep1,59.017250999999995,0.4458943367663306,yHG72,3,15.633869,0.11811891490585856,0.2649033754554241,0.26490337545542403,0.3642471316972308,0.2461282167913722
treat,rep2,31.054364,0.40109145607201097,yHG72,4,15.416836000000002,0.1991205229404601,0.4964466829847168,0.4964466829847168,0.49240920245157105,0.29328867951111093
mock,rep1,25.364763,0.13971376197104476,yHG55,1,75.467032,0.4156862394302371,2.9752705357428337,2.9752705357428337,0.4156862394302371,0
treat,rep1,61.641118999999996,0.3543953455650363,yHG55,2,47.526171,0.273243803295135,0.771014085581412,0.7710140855814119,0.4156862394302371,0.1424424361351021
mock,rep2,27.277129,0.1915925173112015,yHG55,3,70.977858,0.49854317467124204,2.6021014894932675,2.6021014894932675,0.49854317467124204,0
treat,rep2,59.693955,0.40466604420421615,yHG55,4,49.175002,0.33335793436830274,0.8237852894819919,0.8237852894819919,0.49854317467124204,0.1651852403029393
mock,rep1,10.761526,0.08749754385072545,yHG38,1,69.068237,0.561565441146525,6.418070912991336,6.418070912991336,0.561565441146525,0
treat,rep1,41.619491,0.42012732274728065,yHG38,2,33.638271,0.3395610181075374,0.8082335990125398,0.8082335990125395,0.561565441146525,0.22200442303898754
mock,rep2,30.932978,0.10477982296265494,yHG38,3,124.39276899999999,0.4213578244440102,4.021364157049476,4.021364157049476,0.4213578244440102,0
treat,rep2,78.79938899999999,0.2893505092637826,yHG38,4,62.898377999999994,0.2309621678178989,0.7982089556557349,0.7982089556557348,0.4213578244440102,0.1903956566261113
mock,rep1,33.765833,0.19104735318159521,yJB262,1,85.115884,0.48158635245017317,2.52076956016456,2.52076956016456,0.48158635245017317,0
mock,rep2,23.821292,0.17851981972124842,yJB262,2,64.57621999999999,0.48394248106608473,2.7108613588213433,2.7108613588213433,0.48394248106608473,0
treat,rep1,54.468468,0.5147689056395157,yJB262,3,12.06113,0.11398695279764308,0.2214332519871864,0.22143325198718644,0.48158635245017317,0.3675993996525301
treat,rep2,67.036851,0.49669407300996027,yJB262,4,19.07407,0.1413249186954962,0.28453111557999644,0.2845311155799965,0.48394248106608473,0.3426175623705885
mock,rep1,17.962044,0.11842081346777189,yJB147,1,64.08877399999999,0.422526787665824,3.5680111907085847,3.568011190708585,0.422526787665824,0
treat,rep1,48.994099999999996,0.40601134560482177,yJB147,2,21.69354,0.17977314342608652,0.4427786202828504,0.4427786202828504,0.422526787665824,0.2427536442397375
mock,rep2,31.195445,0.20244878347603829,yJB147,3,74.006121,0.48027682138307337,2.3723374037459632,2.3723374037459632,0.48027682138307337,0
treat,rep2,18.945892,0.3538156591979439,yJB147,4,12.44495,0.23241018094769317,0.6568679901690562,0.6568679901690563,0.48027682138307337,0.2478666404353802
mock,rep1,16.748151,0.11741175782906187,yJB148,1,66.976738,0.4695358038171811,3.9990526715456527,3.9990526715456527,0.4695358038171811,0
treat,rep1,54.26435,0.3761681307637504,yJB148,2,44.168411,0.30618165710406686,0.8139489554375939,0.8139489554375939,0.4695358038171811,0.1633541467131142
mock,rep2,26.771331999999997,0.16593717652150777,yJB148,3,74.09248,0.4592486071547088,2.7676052876263313,2.767605287626331,0.4592486071547088,0
treat,rep2,39.802291,0.348621769009645,yJB148,4,31.484626000000002,0.2757686991617408,0.7910254713729922,0.7910254713729922,0.4592486071547088,0.18347990799296798
