Strain,Treatment,fc_count_per_od,error_count_per_od
yHG038,IF_depletion,0.19487613672876064,0.051953124488002024
yHG055,IF_depletion,0.5555268003697588,0.17681679154705562
yHG072,IF_depletion,0.26667532562765,0.06662134536935213
yJB042,IF_depletion,0.09879755738019881,0.04277012197272491
yJB143,IF_depletion,0.1850488281566489,0.02111062745528562
yJB147,IF_depletion,0.11270132689067226,0.018384792095707203
yJB148,IF_depletion,0.27942682902731014,0.045733999591073625
yJB262,IF_depletion,0.12315890241204501,0.04981241579657981
BY4741,30C,1,0.043313178566426976
BY4741,42C,0.7892664266426643,0.06220722193309295
BY4741,46C,0.33607110711071114,0.1433172598386039
BY4741,CHX,0.04882988298829884,0.022644879012242405
