Strain,protein,compiled_ave_fc_sp_enrichment,compiled_se_fc_sp_enrichment,fc_count_per_od,error_count_per_od
yHG038,eIF4E,0.7217256385381838,0.01038029089128406,0.19487613672876064,0.051953124488002024
yHG055,eIF4B,1.0170555292421215,0.21663206833983348,0.5555268003697588,0.17681679154705562
yHG072,eIF4A1(A2ko),0.507306801417179,0.04908641900446897,0.26667532562765,0.06662134536935213
yJB042,eIF3b,0.46014982946133864,0.07823350355386094,0.09879755738019881,0.04277012197272491
yJB143,eIF2alpha,0.7315613316258675,0.18122183082498655,0.1850488281566489,0.02111062745528562
yJB147,eIF5,0.416246732161049,0.027439596556312,0.11270132689067226,0.018384792095707203
yJB148,eIF5b,1.2213003564239977,0.3525978103071979,0.27942682902731014,0.045733999591073625
yJB262,eIF4G1(G2ko),0.4859967220572057,0.03496512753278357,0.12315890241204501,0.04981241579657981
BY4741,30C,NA,NA,1,0.043313178566426976
BY4741,42C,0.17534358632076635,0.07713805066742928,0.7892664266426643,0.06220722193309295
BY4741,46C,0.09871425628286816,0.05598851612913125,0.33607110711071114,0.1433172598386039
BY4741,CHX,NA,NA,0.04882988298829884,0.022644879012242405
